Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Reliance Industries","https://scanx.trade/company/reliance-industries-ltd","1,402.50","-0.15%","1,410.10","1,57,21,693","18,97,929.29","19.43","10.62","1,611.80","1,114.85","-10.39%","-4.28%","10.11%","26.49%","47.17%","2.17","0.39%","8.54%","8.71%","101.61","1,525.02","1,436.84","27.79","78.00%","91.00%"
"HDFC Bank","https://scanx.trade/company/hdfc-bank-ltd","918.70","-0.18%","928.00","4,44,44,755","14,13,381.11","18.28","8.29","1,020.50","812.73","-6.78%","-8.83%","11.87%","10.62%","24.59%","2.53","1.19%","13.93%","6.38%","89.49","980.68","976.52","25.25","78.00%","91.00%"
"Bharti Airtel","https://scanx.trade/company/bharti-airtel-ltd","2,002.20","0.31%","2,008.80","67,22,567","11,41,675.53","25.47","-0.61","2,174.50","1,559.50","-4.55%","-2.02%","23.13%","161.91%","250.87%","9.67","0.77%","8.11%","18.01%","21.42","2,090.25","1,954.90","33.77","78.00%","91.00%"
"Tata Consultancy Services","https://scanx.trade/company/tcs-tata-consultancy-services-ltd","3,150.40","0.89%","3,150.00","22,69,827","11,39,842.29","23.55","32.23","4,191.35","2,866.60","-4.01%","4.78%","-21.94%","-6.32%","-3.77%","10.68","4.04%","50.48%","62.02%","131.54","3,197.87","3,221.46","44.01","78.00%","91.00%"
"State Bank of India","https://scanx.trade/company/state-bank-of-india-ltd","1,048.35","1.92%","1,035.00","1,20,01,641","9,67,691.79","11.32","9.82","1,052.00","680.00","6.94%","15.48%","38.11%","77.03%","255.55%","1.75","1.50%","15.83%","5.57%","81.94","984.17","865.43","70.87","78.00%","91.00%"
"ICICI Bank","https://scanx.trade/company/icici-bank-ltd","1,345.50","-0.26%","1,355.10","1,71,79,765","9,62,058.30","17.04","8.29","1,500.00","1,186.00","-0.64%","-2.64%","12.49%","54.59%","143.44%","2.82","0.81%","16.67%","6.13%","64.38","1,376.29","1,403.42","39.94","78.00%","91.00%"
"Infosys","https://scanx.trade/company/infosys-ltd","1,663.50","0.55%","1,666.00","62,28,892","6,74,486.77","23.96","32.23","1,924.00","1,307.00","1.51%","12.98%","-7.62%","9.04%","24.17%","8.98","2.66%","29.67%","35.85%","64.20","1,600.16","1,539.84","58.11","78.00%","90.56%"
"Bajaj Finance","https://scanx.trade/company/bajaj-finance-ltd","942.85","0.70%","947.00","55,18,756","5,86,686.70","31.37","-2.38","1,102.50","726.00","-6.49%","-13.22%","29.30%","60.88%","84.21%","5.64","0.60%","18.84%","10.98%","241.14","996.47","956.57","37.69","76.00%","89.86%"
"Hindustan Unilever","https://scanx.trade/company/hindustan-unilever-ltd","2,390.60","0.95%","2,368.90","17,45,964","5,61,693.29","50.91","46.81","2,705.09","2,101.12","4.85%","-6.23%","3.84%","-4.65%","2.65%","11.42","2.24%","19.99%","23.38%","43.99","2,354.64","2,397.78","54.83","78.00%","91.00%"
"Larsen & Toubro","https://scanx.trade/company/lt-larsen-toubro-ltd","3,793.80","0.72%","3,798.90","18,56,812","5,21,867.87","27.09","10.87","4,195.00","2,965.30","-6.87%","-2.43%","7.14%","68.62%","176.66%","5.11","0.90%","15.18%","18.71%","96.60","4,017.49","3,703.33","29.27","76.00%","91.00%"
"LIC of India","https://scanx.trade/company/lic-of-india-ltd","819.30","1.20%","810.70","20,20,973","5,18,207.06","10.02","-2.38","980.00","715.30","-3.84%","-8.16%","-2.18%","17.29%","-6.39%","3.61","1.48%","49.36%","0.87%","66.13","862.80","881.20","36.33","76.00%","87.50%"
"Maruti Suzuki","https://scanx.trade/company/maruti-suzuki-ltd","15,765.00","-0.03%","15,950.00","3,52,320","4,95,655.66","33.55","35.59","17,370.00","11,059.45","-3.95%","-3.85%","32.66%","86.79%","95.19%","4.97","0.86%","15.75%","19.54%","467.71","16,260.12","14,283.71","37.18","78.00%","91.00%"
"HCL Technologies","https://scanx.trade/company/hcl-technologies-ltd","1,703.10","1.22%","1,690.60","18,53,439","4,62,164.30","27.71","32.23","1,831.45","1,302.75","3.70%","14.61%","-5.51%","53.74%","71.46%","6.41","3.57%","23.01%","30.84%","60.53","1,647.89","1,571.11","60.93","76.00%","91.00%"
"Mahindra & Mahindra","https://scanx.trade/company/mahindra-mahindra-ltd","3,573.70","0.57%","3,600.00","21,07,171","4,44,399.90","28.49","35.59","3,839.90","2,425.00","-0.83%","-1.31%","26.67%","171.82%","342.15%","5.33","0.69%","15.83%","15.04%","88.80","3,676.44","3,338.67","38.29","76.00%","89.78%"
"Kotak Bank","https://scanx.trade/company/kotak-mahindra-bank-ltd","426.00","1.04%","423.80","1,00,87,657","4,23,678.00","22.57","8.29","460.38","372.55","-1.37%","-3.05%","12.50%","20.82%","14.65%","2.50","0.12%","13.83%","6.51%","93.78","427.27","421.00","47.83","78.00%","91.00%"
"ITC","https://scanx.trade/company/itc-ltd","324.85","0.03%","326.10","1,86,22,852","4,06,996.92","11.51","16.47","471.50","324.35","-19.00%","-21.32%","-25.76%","2.63%","60.69%","5.72","4.41%","27.71%","36.57%","16.36","383.86","407.86","16.11","78.00%","91.00%"
"Axis Bank","https://scanx.trade/company/axis-bank-ltd","1,294.80","0.77%","1,290.00","59,49,677","4,01,969.17","15.26","8.29","1,327.00","933.50","5.22%","4.65%","33.46%","39.14%","91.58%","2.01","0.08%","16.77%","6.50%","86.46","1,266.32","1,182.79","57.21","78.00%","91.00%"
"Sun Pharmaceutical","https://scanx.trade/company/sun-pharmaceutical-ltd","1,634.20","1.32%","1,614.10","22,79,862","3,92,099.32","36.90","17.66","1,851.20","1,548.00","-6.34%","-3.33%","-7.29%","58.61%","180.36%","4.97","0.99%","14.38%","18.92%","43.95","1,753.48","1,695.53","32.80","78.00%","91.00%"
"UltraTech Cement","https://scanx.trade/company/ultratech-cement-ltd","12,364.00","1.09%","12,293.00","2,86,236","3,64,341.33","49.37","29.44","13,097.00","10,047.85","7.55%","0.18%","15.90%","72.27%","123.04%","5.00","0.63%","11.62%","9.06%","243.84","11,798.06","11,980.06","62.10","78.00%","91.00%"
"Titan","https://scanx.trade/company/titan-ltd","4,018.60","-1.49%","4,099.00","8,18,966","3,56,765.75","87.73","-14.68","4,312.10","2,925.00","2.25%","7.77%","19.84%","69.47%","164.85%","28.29","0.27%","37.22%","36.95%","38.91","3,967.81","3,624.34","45.03","78.00%","91.00%"
"NTPC","https://scanx.trade/company/ntpc-ltd","342.45","1.11%","338.70","58,85,972","3,32,062.33","13.46","18.07","371.45","292.80","7.05%","0.13%","5.60%","102.99%","256.35%","1.71","2.47%","12.31%","9.85%","22.08","330.20","337.19","56.41","76.00%","91.00%"
"Bajaj Finserv","https://scanx.trade/company/bajaj-finserv-ltd","1,993.10","1.69%","1,969.80","10,67,186","3,18,460.15","16.27","-2.38","2,195.00","1,617.00","-2.48%","-8.11%","16.08%","49.50%","120.16%","4.09","0.05%","15.03%","10.65%","52.25","2,041.46","2,021.96","44.01","76.00%","91.00%"
"Oil & Natural Gas Corporation","https://scanx.trade/company/oil-natural-gas-corporation-ltd","244.01","0.68%","244.60","1,07,46,306","3,06,971.39","7.12","-100.09","269.35","205.00","4.77%","-1.66%","-8.20%","60.96%","157.67%","0.83","5.06%","15.64%","11.31%","36.35","240.90","241.90","55.11","76.00%","90.20%"
"Adani Ports & SEZ","https://scanx.trade/company/adani-ports-sez-ltd","1,414.20","2.58%","1,400.00","16,89,638","3,05,486.85","26.53","38.62","1,549.00","1,010.75","-5.49%","-4.02%","27.84%","82.61%","158.23%","4.73","0.48%","15.69%","13.60%","46.34","1,479.84","1,402.11","41.03","75.01%","80.00%"
"Bharat Electronics","https://scanx.trade/company/bharat-electronics-ltd","417.30","3.64%","406.00","1,97,63,144","3,05,037.07","51.67","23.47","436.00","240.25","6.22%","-0.10%","49.57%","309.92%","835.02%","13.64","0.60%","24.13%","33.72%","5.80","406.49","386.97","57.79","75.80%","87.50%"
"Hindustan Aeronautics","https://scanx.trade/company/hal-hindustan-aeronautics-ltd","4,353.20","2.20%","4,299.00","7,25,419","2,91,131.13","33.64","34.47","5,165.00","3,046.05","1.11%","-10.39%","7.47%","246.94%","798.86%","7.68","0.94%","26.15%","17.49%","113.89","4,459.75","4,632.36","44.98","74.66%","87.50%"
"JSW Steel","https://scanx.trade/company/jsw-steel-ltd","1,184.40","0.83%","1,180.00","14,28,697","2,89,639.57","47.31","23.05","1,223.90","901.10","9.71%","2.77%","27.79%","59.74%","201.14%","3.47","0.30%","11.25%","7.49%","28.47","1,144.37","1,080.62","58.27","76.00%","90.46%"
"Hindustan Zinc","https://scanx.trade/company/hindustan-zinc-ltd","668.25","-4.20%","694.00","2,82,04,037","2,82,356.94","24.96","-91.62","701.00","378.15","13.50%","38.11%","44.96%","89.31%","135.96%","21.50","4.16%","51.06%","62.89%","19.26","561.54","479.81","62.25","58.00%","85.14%"
"Adani Power","https://scanx.trade/company/adani-power-ltd","140.92","2.39%","139.89","1,07,58,034","2,71,759.92","22.60","18.07","182.70","92.40","-0.59%","-17.48%","33.26%","156.17%","1,210.88%","4.54","-","48.28%","20.42%","41.44","144.96","129.55","45.15","60.00%","81.95%"
"Eternal","https://scanx.trade/company/zomato-ltd","275.90","-2.68%","300.00","15,49,79,819","2,66,253.17","1,491.58","38.62","368.45","194.80","-3.55%","-18.40%","28.59%","436.25%","118.97%","8.86","-","1.72%","2.63%","0.68","291.20","285.22","42.99","72.84%","85.40%"
"Vedanta","https://scanx.trade/company/vedanta-ltd","678.65","0.30%","680.00","1,93,13,521","2,65,378.49","14.89","-91.62","688.00","363.00","16.69%","42.68%","49.52%","105.09%","301.45%","6.59","6.43%","17.92%","28.36%","13.95","572.20","478.79","76.93","75.86%","87.50%"
"Bajaj Auto","https://scanx.trade/company/bajaj-auto-ltd","9,370.00","2.08%","9,225.00","1,93,757","2,61,664.38","30.81","10.97","9,888.00","7,089.35","4.09%","2.76%","10.64%","162.26%","153.02%","7.51","2.29%","26.61%","24.90%","286.76","9,168.56","8,687.85","51.38","76.00%","90.84%"
"Coal India","https://scanx.trade/company/coal-india-ltd","423.20","2.21%","417.15","1,14,97,522","2,60,806.66","8.21","-91.62","442.00","349.25","9.75%","8.21%","10.92%","86.43%","208.12%","2.42","6.40%","44.71%","24.48%","59.34","396.29","390.78","58.15","76.00%","90.80%"
"Asian Paints","https://scanx.trade/company/asian-paints-ltd","2,703.80","1.60%","2,665.30","12,90,346","2,59,347.90","64.36","41.42","2,985.70","2,124.75","-3.43%","7.95%","19.62%","-3.01%","-0.46%","13.03","0.93%","28.61%","23.98%","52.96","2,825.17","2,514.68","41.56","78.00%","91.00%"
"Wipro","https://scanx.trade/company/wipro-ltd","240.65","0.46%","242.00","85,37,915","2,52,362.89","18.85","32.23","324.60","228.00","-9.00%","-0.29%","-19.34%","19.38%","7.96%","2.94","2.50%","14.88%","18.97%","21.37","256.57","251.58","34.00","76.00%","89.70%"
"Nestle","https://scanx.trade/company/nestle-india-ltd","1,306.00","1.78%","1,285.90","9,94,359","2,51,837.85","83.82","51.79","1,332.70","1,055.00","4.95%","1.45%","18.92%","36.04%","47.43%","55.77","1.05%","117.72%","59.30%","33.58","1,270.98","1,212.65","56.14","78.00%","91.00%"
"Avenue Supermarts DMart","https://scanx.trade/company/dmart-avenue-supermarts-ltd","3,724.10","1.84%","3,690.00","4,09,471","2,42,339.50","83.05","26.93","4,949.50","3,340.00","-2.50%","-12.88%","3.80%","5.99%","36.96%","10.39","-","13.56%","16.93%","40.74","3,864.41","4,177.94","43.46","76.00%","87.50%"
"Power Grid Corporation of India","https://scanx.trade/company/power-grid-corporation-of-india-ltd","259.25","1.35%","256.60","1,55,20,530","2,41,118.15","15.65","18.07","322.00","247.30","-1.59%","-10.17%","-14.26%","54.83%","136.18%","2.40","3.52%","18.53%","12.27%","16.88","265.94","285.48","44.75","76.00%","91.00%"
"Adani Enterprises","https://scanx.trade/company/adani-enterprises-ltd","2,086.40","2.67%","2,055.90","9,42,721","2,40,808.27","27.18","26.93","2,612.78","1,964.72","-6.82%","-15.60%","-9.74%","-37.73%","300.83%","4.34","0.06%","7.45%","10.92%","37.44","2,259.41","2,353.50","35.64","71.37%","80.00%"
"Tata Steel","https://scanx.trade/company/tata-steel-ltd","189.10","2.54%","185.89","3,56,81,682","2,36,063.50","34.39","23.05","191.00","124.74","12.10%","9.45%","45.80%","53.80%","183.64%","2.46","1.95%","-5.31%","8.15%","1.60","174.26","163.79","63.80","76.00%","89.34%"
"Indian Oil Corporation","https://scanx.trade/company/indian-oil-corporation-ltd","159.05","0.14%","159.80","88,09,678","2,24,598.30","8.79","10.62","174.50","110.72","-2.18%","3.19%","21.34%","91.86%","146.70%","1.14","1.84%","22.94%","9.53%","21.83","163.91","150.12","44.30","76.00%","87.50%"
"Hindalco Industries","https://scanx.trade/company/hindalco-industries-ltd","944.45","0.56%","945.00","61,65,965","2,12,239.31","11.88","90.21","970.80","546.45","10.85%","20.32%","53.58%","92.76%","279.45%","1.56","0.53%","9.57%","12.85%","48.78","856.85","737.00","64.05","76.00%","89.30%"
"SBI Life Insurance","https://scanx.trade/company/sbi-life-insurance-ltd","2,022.00","-1.62%","2,056.10","18,29,617","2,02,772.19","84.04","-2.38","2,109.60","1,372.55","-0.32%","9.83%","37.87%","56.01%","130.22%","11.27","0.13%","12.70%","0.56%","20.29","2,027.81","1,853.81","43.94","78.00%","91.00%"
"Eicher Motors","https://scanx.trade/company/eicher-motors-ltd","7,049.00","-1.27%","7,175.00","3,66,499","1,93,353.53","38.37","42.31","7,613.50","4,646.00","-2.33%","0.43%","41.83%","123.74%","140.86%","8.87","0.98%","22.17%","26.14%","152.70","7,194.18","6,285.95","35.16","78.00%","91.00%"
"Interglobe Aviation","https://scanx.trade/company/indigo-interglobe-aviation-ltd","4,909.00","1.06%","4,905.00","12,81,956","1,89,777.32","36.75","6.08","6,232.50","3,945.00","-4.74%","-16.98%","22.43%","133.78%","192.63%","21.75","0.21%","409.35%","15.53%","202.26","5,252.14","5,540.22","44.82","76.00%","80.00%"
"Grasim Industries","https://scanx.trade/company/grasim-industries-ltd","2,787.60","1.90%","2,742.50","8,70,158","1,89,702.24","20.75","4.03","2,977.80","2,301.65","-0.89%","-2.89%","17.74%","69.07%","175.16%","1.87","0.37%","7.14%","5.94%","85.43","2,782.38","2,762.54","48.98","78.00%","91.00%"
"Shriram Finance","https://scanx.trade/company/shriram-transport-finance-company-ltd","1,005.50","1.98%","995.05","72,10,572","1,89,170.96","18.81","-2.38","1,025.60","508.15","11.51%","44.62%","93.25%","293.60%","316.72%","3.06","1.00%","14.88%","10.65%","201.17","904.57","718.43","65.26","75.03%","87.17%"
"Hyundai Motor India","https://scanx.trade/company/hyundai-motor-india-ltd","2,277.80","-0.08%","2,281.00","6,92,974","1,85,080.61","32.36","35.59","2,890.00","1,541.70","-1.70%","-2.78%","30.49%","25.18%","25.18%","10.54","0.92%","-","40.99%","-","2,325.09","2,189.50","43.97","65.00%","87.50%"
"LTI Mindtree","https://scanx.trade/company/lti-larsen-toubro-infotech-ltd","5,947.00","1.76%","5,902.50","3,78,212","1,76,322.15","36.67","32.23","6,429.50","3,802.00","-4.04%","6.94%","3.28%","39.34%","49.45%","7.40","1.11%","22.89%","26.33%","154.11","6,082.32","5,372.33","45.15","76.00%","87.50%"
"TVS Motors","https://scanx.trade/company/tvs-motors-ltd","3,570.10","-0.89%","3,627.60","4,36,109","1,69,610.85","61.50","42.31","3,909.00","2,192.75","-2.62%","-2.41%","55.77%","268.09%","600.57%","21.09","0.28%","23.68%","22.61%","36.05","3,628.89","3,192.50","37.93","76.00%","87.50%"
